trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",20,6,-85.01613645982094,"{0: 9, 1: 0, 2: 2, 3: 2, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",30,0,-77.16199827142249,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,0,-78.04138088219852,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",30,15,-172.13497063272246,"{0: 7, 1: 1, 2: 2, 3: 2, 4: 3}",1
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",20,7,4.0817620150394145,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",20,0,-81.80802533196076,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-104.15812265067194,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",20,7,-56.65596039626409,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,0,-17.103545663283207,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",25,9,-51.15190982767153,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",20,5,-23.76806724278106,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",20,0,-18.087078260602908,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",20,10,-12.410493970285717,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.6149999999999997}",25,9,-2.068030324345858,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.6099999999999997}",25,0,-152.77896805388121,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.6049999999999996}",20,6,-43.689928976725874,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,3,-57.65263410166689,"{0: 16, 1: 3, 2: 1, 3: 1, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.5949999999999996}",30,0,-149.73304498874145,"{0: 20, 1: 4, 2: 3, 3: 0, 4: 3}",0
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",30,11,-17.532855385222444,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",35,20,-37.29277945752747,"{0: 9, 1: 4, 2: 1, 3: 1, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",25,14,-27.793104914479297,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",20,4,25.83583302180309,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",20,0,10.350614765566128,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",25,14,-69.92421017217053,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 2}",1
88,False,"{'a': 0.5, 'e': 0.5599999999999996}",25,3,-83.24266587122405,"{0: 16, 1: 0, 2: 3, 3: 2, 4: 1}",1
89,False,"{'a': 0.5, 'e': 0.5549999999999996}",20,5,-30.92975971370054,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
90,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,10,-42.43128893990528,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
91,False,"{'a': 0.5, 'e': 0.5449999999999996}",20,11,14.855413830708148,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.5399999999999996}",25,5,-14.255138058923107,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.5349999999999996}",20,0,6.922310118785819,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.5299999999999996}",20,0,-126.95056217330966,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",30,23,10.941339616607326,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",35,0,-108.29872596553287,"{0: 27, 1: 2, 2: 2, 3: 2, 4: 2}",0
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",20,7,-22.426287678742526,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",25,0,-105.22063722609631,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",25,9,1.5495496121705792,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.49999999999999956}",30,22,-27.50053208911609,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.49499999999999955}",25,0,-60.461494845668135,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.48999999999999955}",20,0,0.6052316285126532,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.48499999999999954}",25,5,-20.08508312466212,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,0,5.53808575784634,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.47499999999999953}",25,7,-26.344645214523126,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 1}",1
